stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.04117] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04121] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04125] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04129] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04132] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04136] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04139] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04143] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04146] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04149] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04153] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04156] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04160] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04163] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04167] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04170] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04174] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04177] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04180] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04184] Score is : 769
