stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.04432] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04436] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04440] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04443] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04447] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04453] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04458] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04461] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04465] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04468] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04471] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04475] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04478] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04482] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04485] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04488] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04492] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04495] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04503] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04507] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04511] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04514] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04518] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04521] Single Buffer requirement not met.
